DATE_KEY,STORE,PRICE_PAID,QTY,DESCRIPTION,DEPARTMENT,CATEGORY
20170214,be93b25bc1988049b8478b15a22d0a847d013a46,11.69,1,ENRGZ MAX AAA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,3edc2f366d96ef2c1e30ea0490a9501c0537b06,5.59,1,ENRGZ BATTERY AAA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,374a38479500261a009bb5de33681a4a12996a26,11.69,1,ENRGZ MAX AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,74c434508907da13f06f48b3c2df482e36b90970,-12.49,-1,ENRGZ PHO LITH 3V 123A,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,25dc245da7c04233ddbe60d4ba739f4d00ea7024,11.69,1,ENRGZ MAX AAA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,5f805232d054dad4ccedd1342ab6b616fd0bfd5,6.49,1,ENER ECO ADVNC AA 4CT BATTERY,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,fcacbaf995613add57bf12718096ad8282a7390c,5.59,1,ENRGZ BATTERY AAA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,1f34795828ed059043f0938b972d7f38ddbb462d,11.69,1,ENRGZ MAX AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,9dd899f20d53fbd26f6bb797cf282433b0d27df0,9.99,1,ENRGZ H/AID AZ10DP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,5ca524b40c689b0dfa64691b900b6d2e0edc95e,14.99,1,ENERGIZER ULT LITH 9V,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,72e90d625ab0c00a89b0d52b52deb1c70351fada,5.59,1,ENRGZ BATTERY AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,e3f570224587c58237a0d18621809c3cf3446823,11.69,1,ENRGZ MAX AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,84661c11308c58a12ea5e74d81559f3426071155,9.99,1,ENRGZ H/AID AZ13DP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,3fafcc990d47ccef32918985767053726a4381c8,5.59,1,ENRGZ BATTERY AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,38e48b1bbd0661b31cc94d5e0b24473cddcf0e2,9.99,1,ENRGZ H/AID AZ312DP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,38e48b1bbd0661b31cc94d5e0b24473cddcf0e2,5.59,1,ENRGZ BATTERY AAA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,ba12da4f2b795da5b986e6d7b7d4029c8e6a0ba1,8.49,1,ENRGZ MAX AA E91MP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,ca4353be943e63d2d5e039232cae18d8d414879c,5.59,1,ENRGZ BATTERY AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,4a78da4cb9a464782b42d51e4c0940eaa04121c2,8.49,1,ENRGZ MAX AAA E92MP-8,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
20170214,4e929361244f06d3106a2962a1a39b0c45df6ef5,11.69,1,ENRGZ MAX AA,GENERAL MERCHANDISE,BATTERIES/FLASHLIGHTS
