"","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Ratings.Source","Ratings.Value","Metascore","imdbRating","imdbVotes","imdbID","Type","totalSeasons","tomatoMeter","tomatoImage","tomatoRating","tomatoReviews","tomatoFresh","tomatoRotten","tomatoConsensus","tomatoUserMeter","tomatoUserRating","tomatoUserReviews","tomatoURL","DVD","BoxOffice","Production","Website","Response"
"1","The Player","2015","TV-14","24 Sep 2015","60 min","Action, Crime, Drama","N/A","John Fox, John Rogers","Philip Winchester, Damon Gupton, Wesley Snipes, Charity Wakefield","A former intelligence and FBI officer, who now works as a security expert in Las Vegas, is recruited by mysterious pit boss Mr. Johnson to, based on his tips, try to prevent crimes, while the rich place bets on his chances of success.","English","USA","1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2MzEyMTE4Ml5BMl5BanBnXkFtZTgwMjgwMDI2NjE@._V1_SX300.jpg","Internet Movie Database","7.1/10","N/A","7.1","6,331","tt4474310","series","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"2","The Honeymooners","1955–1956","N/A","01 Oct 1955","30 min","Comedy, Family","N/A","Jackie Gleason","Jackie Gleason, Art Carney, Audrey Meadows, Joyce Randolph","A bus driver and his sewer worker friend struggle to strike it rich while their wives look on with weary patience.","English","USA","Won 1 Primetime Emmy. Another 3 wins & 7 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTMyNDM3Mjk2OV5BMl5BanBnXkFtZTcwMjE2MjEyMQ@@._V1_SX300.jpg","Internet Movie Database","8.7/10","N/A","8.7","3,637","tt0042114","series","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4","http://www.rottentomatoes.com/m/ralphs-world-say-hello/","23 Sep 2003","N/A","N/A","N/A","True"
"3","McHale's Navy","1962–1966","TV-G","11 Oct 1962","30 min","Comedy, War","N/A","N/A","Ernest Borgnine, Joe Flynn, Tim Conway, Carl Ballantine","The misadventures of a misfit PT Boat crew during World War II.","English","USA","Nominated for 5 Primetime Emmys. Another 1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BNDk5Mzk0NTAxM15BMl5BanBnXkFtZTcwMTIwNzk0MQ@@._V1_SX300.jpg","Internet Movie Database","7.5/10","N/A","7.5","1,698","tt0055689","series","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"4","Bewitched","1964–1972","TV-G","17 Sep 1964","25 min","Comedy, Family, Fantasy","N/A","Sol Saks","Elizabeth Montgomery, Agnes Moorehead, David White, Dick York","A witch married to an ordinary man cannot resist using her magic powers to solve the problems her family faces.","English","USA","Nominated for 4 Golden Globes. Another 13 wins & 27 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTU5OTkzNDIyOF5BMl5BanBnXkFtZTcwMjk1OTEzMQ@@._V1._CR30,34,304,426_SY132_CR2,0,89,132_AL_.jpg_V1_SX300.jpg","Internet Movie Database","7.6/10","N/A","7.6","12,399","tt0057733","series","8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"5","M*A*S*H","1972–1983","TV-PG","17 Sep 1972","25 min","Comedy, Drama, War","N/A","Larry Gelbart","Alan Alda, Loretta Swit, Jamie Farr, William Christopher","The staff of an army hospital in the Korean war find that laughter is the best way to deal with their situation.","English","USA","Won 8 Golden Globes. Another 54 wins & 153 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ3OTM1NjM5MF5BMl5BanBnXkFtZTcwMTI5NDY0MQ@@._V1_SX300.jpg","Internet Movie Database","8.4/10","N/A","8.4","40,349","tt0068098","series","11","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"6","The Streets of San Francisco","1972–1977","N/A","16 Sep 1972","60 min","Action, Crime, Drama","N/A","Edward Hume","Karl Malden, Michael Douglas","A veteran cop with more than 20 years of experience is teamed with a young Inspector to solve crimes in San Francisco.","English","USA","Nominated for 3 Golden Globes. Another 4 wins & 21 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BYmNiM2NkYjYtZGE1NC00OGVlLTg5OWMtYzhmZDQxZmNlMTFlXkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_SX300.jpg","Internet Movie Database","7.3/10","N/A","7.3","3,731","tt0068135","series","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"7","The A-Team","1983–1987","TV-PG","23 Jan 1983","60 min","Action, Adventure, Crime","N/A","Stephen J. Cannell, Frank Lupo","George Peppard, Dwight Schultz, Mr. T, Dirk Benedict","Four Vietnam vets, framed for a crime they didn't commit, help the innocent while on the run from the military.","English","USA","Nominated for 3 Primetime Emmys. Another 3 wins & 2 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMzI0MjI1NjU5OF5BMl5BanBnXkFtZTcwNzg5NDUyMQ@@._V1_SX300.jpg","Internet Movie Database","7.6/10","N/A","7.6","27,265","tt0084967","series","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","145","http://www.rottentomatoes.com/m/five_factories_workers_control_in_venezuela_1983/","N/A","N/A","N/A","N/A","True"
"8","Miami Vice","1984–1990","TV-14","16 Sep 1984","48 min","Action, Crime, Drama","N/A","Anthony Yerkovich","Don Johnson, Philip Michael Thomas, Saundra Santiago, Olivia Brown","Resplendent with authentic 1980's music, fashion and vibe, ""Miami Vice"" follows two undercover detectives and their extended team through the mean streets of Miami.","English","USA","Won 2 Golden Globes. Another 10 wins & 29 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjAzMDI0MzU3N15BMl5BanBnXkFtZTYwMTIzNzI2._V1_SX300.jpg","Internet Movie Database","7.5/10","N/A","7.5","17,942","tt0086759","series","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"9","Anne of Green Gables","1985","TV-G","17 Feb 1986","199 min","Drama, Family","N/A","N/A","Megan Follows, Colleen Dewhurst, Richard Farnsworth, Patricia Hamilton","An orphan girl, sent to an elderly brother and sister by mistake, charms her new home and community with her fiery spirit and imagination.","English","Canada, West Germany, USA","Won 1 Primetime Emmy. Another 11 wins & 6 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BNDI4MjA2MzUxOV5BMl5BanBnXkFtZTcwNjE0MjE2MQ@@._V1._CR53,69,306,401_SY132_CR6,0,89,132_AL_.jpg_V1_SX300.jpg","Internet Movie Database","8.4/10","N/A","8.4","15,850","tt0088727","series","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","96","3.8","49609","http://www.rottentomatoes.com/m/1001074-anne_of_green_gables/","13 Nov 2001","N/A","Sullivan Films","N/A","True"
"10","The Bold and the Beautiful","1987–","TV-14","23 Mar 1987","30 min","Drama, Romance","N/A","William J. Bell, Lee Phillip Bell","Katherine Kelly Lang, Ronn Moss, Susan Flannery, John McCook","The saga of high fashion glamour, honor, romance, passion, and most importantly, family.","English","USA","103 wins & 320 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BNmUzODY1NDAtNWQyMC00YjdiLWE1YTQtZTllZDk5MzlhMGI0XkEyXkFqcGdeQXVyMzI3OTYxMzQ@._V1_SX300.jpg","Internet Movie Database","3.5/10","N/A","3.5","5,824","tt0092325","series","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
