Movie_Title,YR_Released,Rating,Num_Reviews,Movie_ID,Runtime,Record
Code Name: K.O.Z.,2015,1.6,24600,tt4458206,114,Kaggle 5000 Project IDs
Saving Christmas,2014,1.6,12686,tt4009460,80,Kaggle 5000 Project IDs
Superbabies: Baby Geniuses 2,2004,2,26376,tt0270846,88,Kaggle 5000 Project IDs
Daniel der Zauberer,2004,1.9,13060,tt0421051,81,Kaggle 5000 Project IDs
Manos: The Hands of Fate,1966,1.9,31768,tt0060666,70,Kaggle 5000 Project IDs
Pledge This!,,1.9,15828,tt0417056,91,Kaggle 5000 Project IDs
Turks in Space,2006,1.9,14068,tt0808240,110,Kaggle 5000 Project IDs
Foodfight!,2013,1.8,5670,tt0249516,91,Kaggle 5000 Project IDs
Birdemic: Shock and Terror,2010,1.8,15787,tt1316037,105,Kaggle 5000 Project IDs
Dream.net,2009,2,8444,tt1309000,,Kaggle 5000 Project IDs
Titanic: The Legend Goes On...,2000,2.2,8420,tt0330994,90,Kaggle 5000 Project IDs
Disaster Movie,2008,1.9,77407,tt1213644,87,Kaggle 5000 Project IDs
Zombie Nation,2004,2.1,7730,tt0463392,81,Kaggle 5000 Project IDs
The Hottie & the Nottie,2008,1.9,34089,tt0804492,91,Kaggle 5000 Project IDs
Keloglan vs. the Black Prince,2006,1.8,8485,tt0470833,105,Kaggle 5000 Project IDs
From Justin to Kelly,2003,2.1,23918,tt0339034,81,Kaggle 5000 Project IDs
A Fox's Tale,,2.2,7927,tt0830861,85,Kaggle 5000 Project IDs
Ram Gopal Varma's Indian Flames,2007,1.9,6017,tt0473310,171,Kaggle 5000 Project IDs
Going Overboard,1989,1.9,10918,tt0096870,99,Kaggle 5000 Project IDs
Yes Sir,2007,1.8,6141,tt0953989,100,Kaggle 5000 Project IDs
Attack of the Jurassic Shark,2012,1.5,2950,tt2071491,75,Kaggle 5000 Project IDs
Potato Salad,2015,1.2,5839,tt4404474,81,Kaggle 5000 Project IDs
Ben & Arthur,2003,2.2,7002,tt0364986,85,Kaggle 5000 Project IDs
The Legend of the Titanic,1999,1.9,2873,tt1623780,84,Kaggle 5000 Project IDs
Himmatwala,2013,1.8,6555,tt2344678,150,Kaggle 5000 Project IDs
Birdemic 2: The Resurrection,2013,1.7,3241,tt1674047,90,Kaggle 5000 Project IDs
Monster a-Go Go,1965,2.3,6331,tt0059464,70,Kaggle 5000 Project IDs
House of the Dead,2003,2,32974,tt0317676,90,Kaggle 5000 Project IDs
Who's Your Caddy?,2007,2.1,13975,tt0785077,93,Kaggle 5000 Project IDs
Humshakals,2014,1.8,6263,tt3036740,159,Kaggle 5000 Project IDs
Hobgoblins,1988,2.3,8710,tt0089280,88,Kaggle 5000 Project IDs
Glitter,2001,2.2,19905,tt0118589,104,Kaggle 5000 Project IDs
The Beast of Yucca Flats,1961,2.4,6697,tt0054673,54,Kaggle 5000 Project IDs
Son of the Mask,2005,2.2,43443,tt0362165,94,Kaggle 5000 Project IDs
Crossover,2006,2.1,8778,tt0473024,95,Kaggle 5000 Project IDs
Space Mutiny,1988,2,5856,tt0096149,91,Kaggle 5000 Project IDs
Night Train to Mundo Fine,1966,2.6,5874,tt0060753,89,Kaggle 5000 Project IDs
Extra Terrestrial Visitors,1983,2.1,3917,tt0086026,80,Kaggle 5000 Project IDs
Dracula 3000,2004,2,5206,tt0367677,86,Kaggle 5000 Project IDs
The Wild World of Batwoman,,2.1,3923,tt0061191,70,Kaggle 5000 Project IDs
Surf School,2006,2.1,4623,tt0456014,87,Kaggle 5000 Project IDs
Epic Movie,2007,2.3,92620,tt0799949,86,Kaggle 5000 Project IDs
Alone in the Dark,2005,2.3,38560,tt0369226,96,Kaggle 5000 Project IDs
The Starfighters,1964,2.3,3072,tt0058615,78,Kaggle 5000 Project IDs
Leonard Part 6,1987,2.2,7295,tt0093405,85,Kaggle 5000 Project IDs
Final Justice,1985,2,2763,tt0087258,90,Kaggle 5000 Project IDs
Eegah,1965,2.2,4795,tt0055946,90,Kaggle 5000 Project IDs
Die Hard Dracula,,2,3098,tt0162930,88,Kaggle 5000 Project IDs
The Class,2007,2,2909,tt0929809,100,Kaggle 5000 Project IDs
United Passions,2014,2.1,3454,tt2814362,110,Kaggle 5000 Project IDs
Gigli,2003,2.4,42580,tt0299930,121,Kaggle 5000 Project IDs
Kyaa Kool Hain Hum 3,2016,1.8,3392,tt5290620,124,Kaggle 5000 Project IDs
The Pumaman,1980,2.1,3628,tt0081693,90,Kaggle 5000 Project IDs
Battlefield Earth,2000,2.4,67543,tt0185183,118,Kaggle 5000 Project IDs
Too Beautiful,2005,2.9,4467,tt0469849,97,Kaggle 5000 Project IDs
Smolensk,2016,1.2,6560,tt6038600,120,Kaggle 5000 Project IDs
Track of the Moon Beast,1978,2.2,3029,tt0075343,90,Kaggle 5000 Project IDs
Anne B. Real,2003,2.1,3559,tt0315775,91,Kaggle 5000 Project IDs
Invasion of the Neptune Men,1961,1.9,2102,tt0055562,74,Kaggle 5000 Project IDs
