"","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Ratings.Source","Ratings.Value","Metascore","imdbRating","imdbVotes","imdbID","Type","tomatoMeter","tomatoImage","tomatoRating","tomatoReviews","tomatoFresh","tomatoRotten","tomatoConsensus","tomatoUserMeter","tomatoUserRating","tomatoUserReviews","tomatoURL","DVD","BoxOffice","Production","Website","Response"
"1","Avatar","2009","PG-13","18 Dec 2009","162 min","Action, Adventure, Fantasy","James Cameron","James Cameron","Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang","A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.","English, Spanish","UK, USA","Won 3 Oscars. Another 86 wins & 128 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_SX300.jpg","Internet Movie Database","7.8/10","83","7.8","939,525","tt0499549","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/avatar/","22 Apr 2010","$749,700,000","20th Century Fox","http://www.avatarmovie.com/","True"
"2","Pirates of the Caribbean: At World's End","2007","PG-13","25 May 2007","169 min","Action, Adventure, Fantasy","Gore Verbinski","Ted Elliott, Terry Rossio, Ted Elliott (characters), Terry Rossio (characters), Stuart Beattie (characters), Jay Wolpert (characters)","Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley","Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.","English","USA","Nominated for 2 Oscars. Another 20 wins & 44 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyNjkxNzEyMl5BMl5BanBnXkFtZTYwMjc3MDE3._V1_SX300.jpg","Internet Movie Database","7.1/10","50","7.1","506,076","tt0449088","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/pirates_of_the_caribbean_3/","04 Dec 2007","$309,404,152","Buena Vista","http://disney.go.com/disneypictures/pirates/atworldsend/","True"
"3","Spectre","2015","PG-13","06 Nov 2015","148 min","Action, Adventure, Thriller","Sam Mendes","John Logan (screenplay), Neal Purvis (screenplay), Robert Wade (screenplay), Jez Butterworth (screenplay), John Logan (story by), Neal Purvis (story by), Robert Wade (story by), Ian Fleming (based on characters created by)","Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes","A cryptic message from Bond's past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.","English, Spanish, Italian, German, French","UK, USA","Won 1 Oscar. Another 7 wins & 30 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjM2Nzg4MzkwOF5BMl5BanBnXkFtZTgwNzA0OTE3NjE@._V1_SX300.jpg","Internet Movie Database","6.8/10","60","6.8","311,366","tt2379713","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/spectre_2015/","09 Feb 2016","$208,777,731","Sony Pictures","http://www.007.com/","True"
"4","The Dark Knight Rises","2012","PG-13","20 Jul 2012","164 min","Action, Thriller","Christopher Nolan","Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Nolan (story), David S. Goyer (story), Bob Kane (characters)","Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt","Eight years after the Joker's reign of anarchy, the Dark Knight, with the help of the enigmatic Selina, is forced from his imposed exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.","English, Arabic","UK, USA","Nominated for 1 BAFTA Film Award. Another 38 wins & 101 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_SX300.jpg","Internet Movie Database","8.5/10","78","8.5","1,228,378","tt1345836","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/the_dark_knight_rises/","03 Dec 2012","$448,130,642","Warner Bros. Pictures","http://www.thedarkknightrises.com/","True"
"5","The Lone Ranger","2013","PG-13","03 Jul 2013","150 min","Action, Adventure, Western","Gore Verbinski","Justin Haythe (screenplay), Ted Elliott (screenplay), Terry Rossio (screenplay), Ted Elliott (screen story), Terry Rossio (screen story), Justin Haythe (screen story)","Johnny Depp, Armie Hammer, William Fichtner, Tom Wilkinson","Native American warrior Tonto recounts the untold tales that transformed John Reid, a man of the law, into a legend of justice.","English, North American Indian","USA","Nominated for 2 Oscars. Another 4 wins & 17 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjI3Mjk5MTUxOV5BMl5BanBnXkFtZTcwNTMyNzY3OQ@@._V1_SX300.jpg","Internet Movie Database","6.5/10","37","6.5","191,532","tt1210819","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/the_lone_ranger/","17 Dec 2013","$89,289,910","Walt Disney Pictures","http://disney.go.com/the-lone-ranger/","True"
"6","John Carter","2012","PG-13","09 Mar 2012","132 min","Action, Adventure, Sci-Fi","Andrew Stanton","Andrew Stanton (screenplay), Mark Andrews (screenplay), Michael Chabon (screenplay), Edgar Rice Burroughs (based on the story ""A Princess of Mars"" by)","Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe","Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior.","English","USA","2 wins & 8 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMDEwZmIzNjYtNjUwNS00MzgzLWJiOGYtZWMxZGQ5NDcxZjUwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg","Internet Movie Database","6.6/10","51","6.6","221,813","tt0401729","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/john_carter/","05 Jun 2012","$73,058,679","Walt Disney Pictures","http://www.johncarterarrives.com","True"
"7","Tangled","2010","PG","24 Nov 2010","100 min","Animation, Adventure, Comedy","Nathan Greno, Byron Howard","Dan Fogelman (screenplay), Jacob Grimm (based upon the fairy tale ""Rapunzel"" by), Wilhelm Grimm (based upon the fairy tale ""Rapunzel"" by)","Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman","The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.","English","USA","Nominated for 1 Oscar. Another 9 wins & 41 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_SX300.jpg","Internet Movie Database","7.8/10","71","7.8","319,367","tt0398286","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/tangled/","29 Mar 2011","$200,803,309","Walt Disney Pictures","http://Disney.com/Tangled","True"
"8","Spider-Man 3","2007","PG-13","04 May 2007","139 min","Action, Adventure","Sam Raimi","Sam Raimi (screenplay), Ivan Raimi (screenplay), Alvin Sargent (screenplay), Sam Raimi (screen story), Ivan Raimi (screen story), Stan Lee (Marvel comic book), Steve Ditko (Marvel comic book)","Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church","A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.","English, French","USA","Nominated for 1 BAFTA Film Award. Another 3 wins & 32 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BYTk3MDljOWQtNGI2My00OTEzLTlhYjQtOTQ4ODM2MzUwY2IwXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg","Internet Movie Database","6.2/10","59","6.2","409,059","tt0413300","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/spiderman_3/","30 Oct 2007","$336,530,303","Sony Pictures","http://www.sonypictures.com/movies/spiderman3/site/","True"
"9","Avengers: Age of Ultron","2015","PG-13","01 May 2015","141 min","Action, Adventure, Sci-Fi","Joss Whedon","Joss Whedon, Stan Lee (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by), Joe Simon (character created by: Captain America), Jack Kirby (character created by: Captain America), Jim Starlin (character created by: Thanos)","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans","When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.","English","USA","5 wins & 43 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTM4OGJmNWMtOTM4Ni00NTE3LTg3MDItZmQxYjc4N2JhNmUxXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_SX300.jpg","Internet Movie Database","7.4/10","66","7.4","521,903","tt2395427","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/avengers_age_of_ultron/","02 Oct 2015","$429,113,729","Walt Disney Pictures","http://marvel.com/avengers","True"
"10","Captain America: Civil War","2016","PG-13","06 May 2016","147 min","Action, Adventure, Sci-Fi","Anthony Russo, Joe Russo","Christopher Markus (screenplay), Stephen McFeely (screenplay), Joe Simon (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by)","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan","Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man.","English, German, Xhosa, Russian, Romanian, Hindi","USA","6 wins & 61 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_SX300.jpg","Internet Movie Database","7.9/10","75","7.9","417,490","tt3498820","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/captain_america_civil_war/","13 Sep 2016","$408,080,554","Walt Disney Pictures","http://marvel.com/captainamerica#/home","True"
